"","decimalLongitude","decimalLatitude","individualCount","species","year","month","country","occurrenceStatus","coordinateUncertaintyInMeters","datasetName","datasetKey"
"1",153.202317,-27.541245,NA,"Litoria fallax",2024,1,"Australia","PRESENT",10,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"2",152.82335,-26.717085,NA,"Litoria fallax",2024,1,"Australia","PRESENT",15,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"3",153.02628,-30.887852,NA,"Litoria fallax",2024,1,"Australia","PRESENT",24,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"4",152.776795,-26.796463,NA,"Litoria fallax",2024,1,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"5",152.844283,-27.152955,NA,"Litoria fallax",2024,1,"Australia","PRESENT",3,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"6",145.232072,-37.714662,NA,"Litoria fallax",2024,1,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"7",153.386053,-28.008295,NA,"Litoria fallax",2024,1,"Australia","PRESENT",19,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"8",145.101182,-37.864329,NA,"Litoria fallax",2024,1,"Australia","PRESENT",39,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"9",145.723689,-16.807653,NA,"Litoria fallax",2024,1,"Australia","PRESENT",5,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"10",150.630366,-33.848118,NA,"Litoria fallax",2024,1,"Australia","PRESENT",29,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"11",152.88546,-26.77765,NA,"Litoria fallax",2024,1,"Australia","PRESENT",8,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"12",151.203524,-34.022235,NA,"Litoria fallax",2024,1,"Australia","PRESENT",76,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"13",149.877422,-36.410244,NA,"Litoria fallax",2024,1,"Australia","PRESENT",15,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"14",151.106976,-33.750471,NA,"Litoria fallax",2024,1,"Australia","PRESENT",8,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"15",151.031739,-33.792983,NA,"Litoria fallax",2024,1,"Australia","PRESENT",6,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"16",151.32875,-33.27677,NA,"Litoria fallax",2024,1,"Australia","PRESENT",10,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"17",151.113798,-33.77203,NA,"Litoria fallax",2024,1,"Australia","PRESENT",8,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"18",145.631354,-17.309335,NA,"Litoria fallax",2024,1,"Australia","PRESENT",72,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"19",150.608513,-33.993806,NA,"Litoria fallax",2024,1,"Australia","PRESENT",35,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"20",152.128774,-26.871937,NA,"Litoria fallax",2024,1,"Australia","PRESENT",122,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"21",150.848385,-34.573913,NA,"Litoria fallax",2024,1,"Australia","PRESENT",20,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"22",150.861313,-34.650263,NA,"Litoria fallax",2024,1,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"23",151.11403,-33.771769,NA,"Litoria fallax",2024,1,"Australia","PRESENT",18,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"24",150.161535,-35.75259,NA,"Litoria fallax",2024,1,"Australia","PRESENT",122,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"25",152.642931,-30.445151,NA,"Litoria fallax",2024,1,"Australia","PRESENT",68,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"26",152.958623,-26.373453,NA,"Litoria fallax",2024,1,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"27",152.683503,-30.809217,NA,"Litoria fallax",2024,1,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"28",151.149255,-33.664555,NA,"Litoria fallax",2024,1,"Australia","PRESENT",11,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"29",151.149304,-33.664542,NA,"Litoria fallax",2024,1,"Australia","PRESENT",11,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"30",151.149265,-33.66456,NA,"Litoria fallax",2024,1,"Australia","PRESENT",5,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"31",151.115067,-33.769583,NA,"Litoria fallax",2024,1,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"32",151.11505,-33.769539,NA,"Litoria fallax",2024,1,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"33",151.115081,-33.769528,NA,"Litoria fallax",2024,1,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"34",151.297713,-32.773963,NA,"Litoria fallax",2024,1,"Australia","PRESENT",9,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"35",150.16368,-35.754626,NA,"Litoria fallax",2024,1,"Australia","PRESENT",10,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"36",150.163598,-35.754596,NA,"Litoria fallax",2024,1,"Australia","PRESENT",10,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"37",150.163658,-35.754585,NA,"Litoria fallax",2024,1,"Australia","PRESENT",10,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"38",150.163651,-35.754687,NA,"Litoria fallax",2024,1,"Australia","PRESENT",3,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"39",150.163646,-35.754614,NA,"Litoria fallax",2024,1,"Australia","PRESENT",2,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"40",151.113094,-33.772257,NA,"Litoria fallax",2024,1,"Australia","PRESENT",6,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"41",151.184464,-33.910642,NA,"Litoria fallax",2024,1,"Australia","PRESENT",12,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"42",151.184433,-33.911228,NA,"Litoria fallax",2024,1,"Australia","PRESENT",5,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"43",151.184447,-33.911097,NA,"Litoria fallax",2024,1,"Australia","PRESENT",25,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"44",151.184511,-33.911061,NA,"Litoria fallax",2024,1,"Australia","PRESENT",13,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"45",151.184403,-33.911225,NA,"Litoria fallax",2024,1,"Australia","PRESENT",85,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"46",151.184386,-33.911214,NA,"Litoria fallax",2024,1,"Australia","PRESENT",19,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"47",151.114524,-33.77082,NA,"Litoria fallax",2024,2,"Australia","PRESENT",28,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"48",151.114057,-33.771727,NA,"Litoria fallax",2024,2,"Australia","PRESENT",23,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"49",151.11392,-33.771866,NA,"Litoria fallax",2024,2,"Australia","PRESENT",70,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"50",151.114517,-33.770836,NA,"Litoria fallax",2024,2,"Australia","PRESENT",31,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"51",151.114112,-33.77152,NA,"Litoria fallax",2024,2,"Australia","PRESENT",45,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"52",151.113815,-33.771839,NA,"Litoria fallax",2024,2,"Australia","PRESENT",24,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"53",151.113801,-33.771844,NA,"Litoria fallax",2024,2,"Australia","PRESENT",24,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
